007 Legends (Europe) (En,Fr,De)	66FCCB31D608686AB237B2A987E24FE2
007 Legends (USA) (En,Fr)	C47AB82D4AA06B2E87F717370A6961BE
ABC Wipeout - Create & Crash (USA)	86BEE3E99FA8DC9879FED7B8C1089A22
ABC Wipeout 3 (USA)	F23D561665D70B43CBE810E6834703AD
Adventure Time - Explore the Dungeon Because I Don't Know! (Europe) (En,Fr,De,Es,It)	9B4266FF9279CD58D03CDB16BF77FED4
Adventure Time - Explore the Dungeon Because I Don't Know! (USA) (En,Fr,Es)	FA005119B635F34AFEAB081FD394F787
Adventure Time - Finn & Jake Investigations (Europe) (En,Fr,De,Es,It)	B18CB36E3DDDE626B5BBA1DC33810F6E
Adventure Time - Finn & Jake Investigations (USA) (En,Fr,Es,Pt)	20E82EF763265E8F67DCCA2FB2400935
Amazing Spider-Man 2, The (Europe) (En,Fr,De,Es,It)	00057DE864AE390ACC8C7944D962094F
Amazing Spider-Man 2, The (USA) (En,Fr)	4FA6B1578CBD5FCD2CB83B2E8FD56DF3
Amazing Spider-Man, The - Ultimate Edition (Europe) (En,Fr,De,Es,It)	296D8DF4FE52998FD2B998A517476464
Amazing Spider-Man, The - Ultimate Edition (USA) (En,Fr,Es)	4ABDB6379B4D658F89A609364C40E965
Angry Birds Star Wars (Europe) (En,Fr,De,Es,It)	2AA9774322E92B25704B67CDC905E6E9
Angry Birds Star Wars (USA) (En,Fr,Es,Pt)	58CB15E60F95130419FE191053B3DC26
Angry Birds Trilogy (Europe) (En,Fr,De,Es,It)	29858AA7F788DE0F391CE445F6541EFD
Angry Birds Trilogy (USA) (En,Fr)	7EA4C6CB6C8BA6D35DF143E412A80145
Animal Crossing - Amiibo Festival (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)	95359DC054F6E2DC6E52D529E4E6808E
Animal Crossing - Amiibo Festival (USA) (En,Fr,Es)	16B082089AACC6291252D97C42433F29
Art Academy - Atelier (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)	ED9866B36A2F08AC1F7FC42D37726AB8
Assassin's Creed III (Europe) (En,Fr,De,Es,It,Nl,Ru)	2418CE5ED5D2B4255F4538398DD50533
Assassin's Creed III (Japan)	96A8D6F5979162C3AE96C74D7C0F6E4C
Assassin's Creed III (USA) (En,Fr,Es,Pt)	6F05B63733AD3C0E5ED936538AC17AEA
Assassin's Creed IV - Black Flag (Europe) (En,Fr,De,Es,It,Nl,Ru)	BF9D4229CE4224160273ACA9A1AC9FC9
Assassin's Creed IV - Black Flag (Japan)	E9F29B718D7FD92CBF0850681AA36265
Assassin's Creed IV - Black Flag (USA) (En,Fr,Es,Pt)	22FAE6CF34E739A9121871EF52215446
Axiom Verge (USA) (En,Fr,De,Es,It,Pt)	81F6771294D790C1CF30B38E231D482F
Baila Latino (Europe) (En,Fr,De,Es,It)	B0D80A913BE3203CDA0A053AAE747CA0
Barbie & Her Sisters - Puppy Rescue (Europe) (En,Fr,De,Es,It)	30701EC65DB293EF5298579748327C5F
Barbie & Her Sisters - Puppy Rescue (USA) (En,Fr,Es,Pt)	80F561B86E0ED79EC476C5D29FEA4293
Barbie Dreamhouse Party (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	9E9F15E7447E5291028BE7E90D7546B6
Barbie Dreamhouse Party (USA) (En,Fr,Es)	3EC468E59B07430CEE4D215BC80BD4CB
Batman - Arkham City - Armored Edition (Japan)	FC923580CE50D20C58DE8B4EC605CA31
Batman - Arkham City - Armored Edition (USA) (En,Fr,Es,Pt)	F495168B83265ED3E923AC0F31BBC8A3
Batman - Arkham City - Armoured Edition (Europe) (En,Fr,De,Es,It,Ru)	2B2380682DF26A60860FD7C8913E0EA1
Batman - Arkham Origins (Europe) (En,Fr,De,Es,It,Ru)	3342769247F00871EC6C564466213149
Batman - Arkham Origins (Japan)	7241D87E2E3342E82B59EEE1A26BE57F
Batman - Arkham Origins (USA) (En,Fr,Es)	2B08C21C6BF82ABACBD55CE2D395E641
Bayonetta (Europe) (En,Ja,Fr,De,Es,It)	16A566EC4C3B70C1C8CEB6161A03D584
Bayonetta (Japan) (Rev 1)	4982C37ED82A7E88A9A509FF6D7BB8FC
